key,name,domain,criticality,odoo_model,status,next_entity,next_module,next_api_count,next_ui,next_workflow,next_report,gap_description,risk,priority,notes
time_sheet,Сводный табель,HR / Resources,MUST,construction.time.sheet,MATCHED,"Timesheet, TimesheetPeriod, CrewTimeSheet","hr, hrRussian",46,"timesheets, hr-russian/timesheets, hr/crew-timesheets","TimesheetStatus: [DRAFT,SUBMITTED,APPROVED,REJECTED]; TimesheetPeriodStatus: [OPEN,SUBMITTED,APPROVED]; CrewTimeSheetStatus: [DRAFT,SUBMITTED,APPROVED,REJECTED]",,Full coverage,LOW,P2,Timesheets in hr and hrRussian with period management
brigade_kpi,KPI бригад,HR / Resources,SHOULD,construction.brigade.kpi,MATCHED,"KpiDefinition, KpiAchievement, KpiSnapshot",analytics,30,"kpi, analytics/kpi-achievements",,,Full coverage,LOW,P2,Brigade KPI mapped to general KPI system
employee_qualification,Квалификация сотрудника,HR / Resources,SHOULD,construction.employee.qualification,MATCHED,"EmployeeCertificate, HrEmployeeCertificate, HrCertificateType","hr, hrRussian",59,"employees, employees/new, employees/:id","CertificateStatus: [VALID,EXPIRING,EXPIRED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Qualifications via certificates in hr and hrRussian
kpi,KPI для строительных объектов,HR / Resources,SHOULD,construction.kpi,MATCHED,"KpiDefinition, KpiAchievement, KpiSnapshot",analytics,30,"kpi, analytics/kpi-achievements",,,Odoo had chatter; verify Next comment/activity integration,LOW,P2,KPI definitions and achievements
kpi_achievement,Достижение KPI,HR / Resources,SHOULD,construction.kpi.achievement,MATCHED,KpiAchievement,analytics,30,analytics/kpi-achievements,,,Odoo had chatter; verify Next comment/activity integration; Odoo had workflow states; verify state management,LOW,P2,KPI achievements with dedicated UI
site_assignment,Назначение сотрудника на объект,HR / Resources,SHOULD,construction.site.assignment,MATCHED,"ProjectMember, ProjectCollaborator",project,10,"projects, projects/new, projects/:id (+2 more)",,,Odoo had chatter; verify Next comment/activity integration,LOW,P2,Site assignments via project members/collaborators
portal_access,Доступ подрядчика к порталу,Communication / AI / Integration,SHOULD,construction.portal.access,MATCHED,"PortalUser, PortalProject, PortalDocument, PortalMessage",portal,20,"portal, portal/projects, portal/documents (+2 more)","PortalUserStatus: [PENDING,ACTIVE,BLOCKED]",,Full coverage,LOW,P2,"Full portal module with users, projects, documents"
advanced_analytics,Расширенная аналитика,Communication / AI / Integration,NICE,construction.advanced.analytics,MATCHED,"AnalyticsReport, BiDashboard, BiWidget, SavedReport",analytics,30,"analytics, analytics/kpi-achievements, analytics/bonus-calculations",,AnalyticsReportService,Full coverage,LOW,P2,"Advanced analytics with BI dashboards, widgets"
ai_assistant,AI ассистент,Communication / AI / Integration,NICE,construction.ai.assistant,MATCHED,"AiConversation, AiMessage, AiDocumentAnalysis, AiPrediction, AiTemplate, AiUsageLog",ai,57,ai-assistant,"ConversationStatus: [ACTIVE,ARCHIVED]; AnalysisStatus: [PENDING,PROCESSING,COMPLETED,FAILED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,"Full AI module with conversations, analysis, predictions"
api_key,API ключ,Communication / AI / Integration,NICE,construction.api.key,PARTIAL,ApiKey,apiManagement,0,settings/api-keys,,,No API endpoints,LOW,P2,API key management in apiManagement
digital_twin,Цифровой двойник,Communication / AI / Integration,NICE,construction.digital.twin,MATCHED,"BimModel, BimElement, BimClash, BimVersion, BimViewer",bim,27,"bim/models, bim/models/:id, bim/design-packages (+1 more)","BimModelStatus: [DRAFT,IMPORTED,PROCESSED,LINKED]; ClashStatus: [NEW,REVIEWED,RESOLVED,APPROVED]",,Full coverage,LOW,P2,"Digital twin via BIM with models, elements, clash detection"
iot_alert,IoT предупреждение,Communication / AI / Integration,NICE,construction.iot.alert,MATCHED,"IoTAlert, IoTAlertRule",iot,8,iot/alerts,"AlertStatus: [ACTIVE,ACKNOWLEDGED,RESOLVED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,IoT alerts with rules
iot_device,IoT устройство,Communication / AI / Integration,NICE,construction.iot.device,MATCHED,"IoTDevice, IoTSensorData, IoTDashboard",iot,7,"iot/devices, iot/devices/:id","DeviceStatus: [ONLINE,OFFLINE,MAINTENANCE,DECOMMISSIONED]",,Odoo had chatter; verify Next comment/activity integration,LOW,P2,IoT devices with sensor data and dashboards
iot_telemetry,IoT телеметрия,Communication / AI / Integration,NICE,construction.iot.telemetry,MATCHED,IoTSensorData,iot,7,iot/sensors,,,Full coverage,LOW,P2,IoT telemetry via IoTSensorData
mfa_log,Журнал событий МФА,Communication / AI / Integration,NICE,construction.mfa.log,MATCHED,"MfaAttempt, MfaConfig",auth,19,,,,No dedicated UI page,LOW,P2,MFA logs via auth module; API but no dedicated UI
mobile_push_device,Устройство мобильного пуша,Communication / AI / Integration,NICE,construction.mobile.push.device,MATCHED,"MobileDevice, PushNotification",mobile,7,"mobile/reports, mobile/reports/new, mobile/photos (+1 more)",,,Full coverage,LOW,P2,Mobile devices with push notifications
mobile_push_notification,Пуш уведомление,Communication / AI / Integration,NICE,construction.mobile.push.notification,MATCHED,"PushNotification, Notification","mobile, notification",22,notifications,"PushNotificationStatus: [PENDING,SENT,DELIVERED,FAILED]",,Full coverage,LOW,P2,Push notifications in mobile + notification system
mobile_report,Мобильный отчет,Communication / AI / Integration,NICE,construction.mobile.report,MATCHED,"PhotoCapture, MobileFormConfig",mobile,7,"mobile/reports, mobile/reports/new",,,Odoo had workflow states; verify state management,LOW,P2,Mobile reports with form configs and photo capture
offline_sync_queue,Очередь синхронизации офлайн данных,Communication / AI / Integration,NICE,construction.offline.sync.queue,MATCHED,OfflineAction,mobile,7,,"OfflineActionStatus: [PENDING,SYNCED,CONFLICT]",,No dedicated UI page,LOW,P2,Offline sync via OfflineAction with PENDING/SYNCED/CONFLICT
sync_config,Конфигурация синхронизации PWA,Communication / AI / Integration,NICE,construction.sync.config,MATCHED,"SyncMapping, SyncJob, IntegrationConfig","integration, settings",63,"admin/integrations, data-exchange/import, data-exchange/export (+3 more)","SyncJobStatus: [PENDING,RUNNING,COMPLETED,FAILED,CANCELLED]",,Full coverage,LOW,P2,Sync config via integration module with mappings and jobs
sync_log,Журнал синхронизации PWA,Communication / AI / Integration,NICE,construction.sync.log,MATCHED,"SyncJob, OneCExchangeLog",integration,38,data-exchange/1c-logs,"SyncJobStatus: [PENDING,RUNNING,COMPLETED,FAILED,CANCELLED]; OneCExchangeStatus: [STARTED,IN_PROGRESS,COMPLETED,FAILED]",,Full coverage,LOW,P2,Sync logs via SyncJob and 1C exchange log
webhook,Webhook,Communication / AI / Integration,NICE,construction.webhook,MATCHED,"WebhookEndpoint, WebhookConfig, WebhookDelivery","integration, apiManagement",35,settings/webhooks,"WebhookDeliveryStatus: [PENDING,SENT,FAILED,RETRYING]; WebhookDeliveryStatus: [PENDING,DELIVERED,FAILED,RETRYING]",,Full coverage,LOW,P2,Webhooks in integration and apiManagement
